pleiades_url,geonames_url,match_type,distance,pleiades_locationPrecision,pleiades_featureTypes,geonames_featurecode
http://pleiades.stoa.org/places/109128,http://sws.geonames.org/2996938/,edh,0.217,precise,"temple",PPL
http://pleiades.stoa.org/places/109126,http://sws.geonames.org/2988507/,edh,0.098,precise,"settlement, amphitheatre, bath",PPLC
http://pleiades.stoa.org/places/109093,http://sws.geonames.org/2793907/,edh,0.351,precise,"settlement",PPL
http://pleiades.stoa.org/places/109069,http://sws.geonames.org/2998322/,edh,0.271,precise,"settlement, amphitheatre, theatre",PPL
http://pleiades.stoa.org/places/109068,http://sws.geonames.org/2894553/,edh,0.117,precise,"settlement",PPL
http://pleiades.stoa.org/places/109068,http://sws.geonames.org/2885332/,edh,2.839,precise,"settlement",PPL
http://pleiades.stoa.org/places/109041,http://sws.geonames.org/2847049/,edh,26.535,precise,"settlement",PPL
http://pleiades.stoa.org/places/109016,http://sws.geonames.org/3247449/,edh,269.343,precise,"amphitheatre, temple",PPLA3
http://pleiades.stoa.org/places/109016,http://sws.geonames.org/3015368/,edh,0.082,precise,"amphitheatre, temple",PPL
http://pleiades.stoa.org/places/109016,http://sws.geonames.org/2940925/,edh,268.043,precise,"amphitheatre, temple",PPLX
http://pleiades.stoa.org/places/109016,http://sws.geonames.org/2885438/,edh,265.214,precise,"amphitheatre, temple",PPL
http://pleiades.stoa.org/places/109008,http://sws.geonames.org/3031133/,edh,1.071,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/108977,http://sws.geonames.org/3023511/,edh,458.967,precise,"settlement",PPL
http://pleiades.stoa.org/places/108958,http://sws.geonames.org/2798847/,edh,0.041,precise,"fort",PPL
http://pleiades.stoa.org/places/108944,http://sws.geonames.org/3027487/,edh,0.711,precise,"settlement",PPLA2
http://pleiades.stoa.org/places/108941,http://sws.geonames.org/2935825/,edh,0.84,precise,"fort",PPL
http://pleiades.stoa.org/places/108938,http://sws.geonames.org/2890660/,edh,0.903,precise,"settlement",PPL
http://pleiades.stoa.org/places/108908,http://sws.geonames.org/2754652/,edh,0.079,precise,"settlement, bath",PPL
http://pleiades.stoa.org/places/108903,http://sws.geonames.org/2886946/,edh,1.507,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/108903,http://sws.geonames.org/2660123/,edh,308.978,precise,"settlement",PPL
http://pleiades.stoa.org/places/108900,http://sws.geonames.org/2641224/,edh,664.204,precise,"settlement, settlement-modern",PPL
http://pleiades.stoa.org/places/108896,http://sws.geonames.org/2951612/,edh,1.919,precise,"settlement",PPL
http://pleiades.stoa.org/places/108896,http://sws.geonames.org/2815814/,edh,4.452,precise,"settlement",PPL
http://pleiades.stoa.org/places/108896,http://sws.geonames.org/2805385/,edh,0.902,precise,"settlement",PPL
